year,locationabbr,locationdesc,class,topic,question,response,break_out,break_out_category,sample_size,data_value,confidence_limit_low,confidence_limit_high,data_value_unit,data_value_type,datasource
2023,CA,California,Chronic Health Indicators,Obesity,Percent of adults aged 18 years and older who have obesity,Yes,Overall,Overall,5420,25.1,23.8,26.4,%,Crude Prevalence,BRFSS
2023,XX,InvalidState,Chronic Health Indicators,Obesity,Percent of adults with obesity,Yes,Overall,Overall,3000,30.5,28.2,32.8,%,Crude Prevalence,BRFSS
2023,TX,Texas,Chronic Health Indicators,Diabetes,Percent of adults with diabetes,Yes,Overall,Overall,4856,13.1,12.1,14.1,%,Crude Prevalence,BRFSS
1980,NY,New York,Chronic Health Indicators,Obesity,Percent with obesity,Yes,Overall,Overall,6102,27.6,26.2,29.0,%,Crude Prevalence,BRFSS
2023,FL,Florida,Chronic Health Indicators,Obesity,Percent of adults with obesity,Yes,Overall,Overall,5234,-5.2,27.0,29.8,%,Crude Prevalence,BRFSS
2023,WA,Washington,Chronic Health Indicators,Depression,Percent with depression,Yes,Overall,Overall,4089,21.9,25.0,20.0,%,Crude Prevalence,BRFSS
2023,CO,Colorado,Chronic Health Indicators,Obesity,Percent of adults with obesity,Yes,Overall,Overall,4567,150.0,22.4,25.2,%,Crude Prevalence,BRFSS
2023,,Missing State,Chronic Health Indicators,Diabetes,Percent with diabetes,Yes,Overall,Overall,3200,11.5,10.2,12.8,%,Crude Prevalence,BRFSS
2023,OH,Ohio,Chronic Health Indicators,Obesity,,Yes,Overall,Overall,4321,36.3,34.5,38.1,%,Crude Prevalence,BRFSS
2023,GA,Georgia,Chronic Health Indicators,,Percent with condition,Yes,Overall,Overall,4100,33.9,32.1,35.7,%,Crude Prevalence,BRFSS
2023,MI,Michigan,Chronic Health Indicators,Current Smoker Status,Percent who smoke,Yes,Overall,Overall,25,19.8,15.2,24.4,%,Crude Prevalence,BRFSS
2023,PA,Pennsylvania,Chronic Health Indicators,High Blood Pressure,Percent with high BP,Yes,Overall,Overall,4789,abc,30.2,34.8,%,Crude Prevalence,BRFSS
