year,locationabbr,locationdesc,class,topic,question,response,break_out,break_out_category,sample_size,data_value,confidence_limit_low,confidence_limit_high,data_value_unit,data_value_type,datasource
2023,CA,California,Chronic Health Indicators,Obesity,Percent of adults with obesity,Yes,Overall,Overall,5420,25.1,23.8,26.4,%,Crude Prevalence,BRFSS
2023,TX,Texas,Chronic Health Indicators,obesity,Percent of adults with obesity (lowercase topic - should pass now),Yes,Overall,Overall,4500,28.3,26.5,30.1,%,Crude Prevalence,BRFSS
2023,NY,New York,Chronic Health Indicators,DIABETES,Percent of adults with diabetes (uppercase topic - should pass now),Yes,Overall,Overall,6200,11.2,10.1,12.3,%,Crude Prevalence,BRFSS
2023,XX,Unknown State,Chronic Health Indicators,Obesity,Invalid state abbreviation demo,Yes,Overall,Overall,3000,30.5,28.2,32.8,%,Crude Prevalence,BRFSS
2023,CB,Unknown State,Chronic Health Indicators,Diabetes,Invalid state - should suggest CA CO CT,Yes,Overall,Overall,3200,12.1,10.8,13.4,%,Crude Prevalence,BRFSS
2023,FL,Florida,Chronic Health Indicators,Diabtes,Misspelled topic - should suggest Diabetes,Yes,Overall,Overall,4800,13.5,12.2,14.8,%,Crude Prevalence,BRFSS
2023,GA,Georgia,Chronic Health Indicators,Obesitee,Misspelled topic - should suggest Obesity,Yes,Overall,Overall,4200,31.2,29.5,32.9,%,Crude Prevalence,BRFSS
2023,WA,Washington,Chronic Health Indicators,Heart Problems,Unrecognized topic - no close match,Yes,Overall,Overall,3900,8.5,7.2,9.8,%,Crude Prevalence,BRFSS
2023,CO,Colorado,Chronic Health Indicators,Obesity,Value exceeds 100% without Number type,Yes,Overall,Overall,4500,150.0,145.0,155.0,%,Crude Prevalence,BRFSS
2023,OR,Oregon,Chronic Health Indicators,Obesity,Negative value demo,Yes,Overall,Overall,4100,-5.2,22.0,24.0,%,Crude Prevalence,BRFSS
2023,NV,Nevada,Chronic Health Indicators,Obesity,Inverted confidence interval demo,Yes,Overall,Overall,4300,27.5,30.0,25.0,%,Crude Prevalence,BRFSS
2023,AZ,Arizona,Chronic Health Indicators,Obesity,Value outside CI demo,Yes,Overall,Overall,4600,22.0,25.0,28.0,%,Crude Prevalence,BRFSS
2023,UT,Utah,Chronic Health Indicators,Obesity,Very small sample size,Yes,Overall,Overall,8,18.5,10.0,27.0,%,Crude Prevalence,BRFSS
2023,ID,Idaho,Chronic Health Indicators,Obesity,Small sample size warning,Yes,Overall,Overall,35,20.1,15.0,25.2,%,Crude Prevalence,BRFSS
2023,MT,Montana,Chronic Health Indicators,Obesity,Wide confidence interval demo,Yes,Overall,Overall,150,23.0,5.0,41.0,%,Crude Prevalence,BRFSS
1980,NM,New Mexico,Chronic Health Indicators,Obesity,Year before BRFSS started,Yes,Overall,Overall,4000,22.5,20.8,24.2,%,Crude Prevalence,BRFSS
2023,,Missing State,Chronic Health Indicators,Obesity,Missing state abbreviation,Yes,Overall,Overall,4100,25.0,23.5,26.5,%,Crude Prevalence,BRFSS
2023,WY,Wyoming,Chronic Health Indicators,Obesity,Non-numeric data value,Yes,Overall,Overall,3800,abc,22.0,26.0,%,Crude Prevalence,BRFSS
